,Highest Charting Position,Number of Times Charted,Weeks_Start,Weeks_End,Streams,Artist,Artist Followers,Song ID,Genre,General_Genre,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence,Chord
1375,90,10,12/27/19,1/3/20,"5,112,244","Rich Music LTD, Sech, Dalex, Justin Quiles, Lenny Tavárez, Feid, Wisin, Zion",206225,5Id5B3dxJZhPcV9GzgYZZe,"['latin', 'reggaeton', 'trap latino']",latin,-2.454,0.153,0.0258,0.231,176.075,216067,0.677,D#/Eb
1376,106,10,12/27/19,1/3/20,"5,078,459","Lunay, Daddy Yankee, Bad Bunny",4963516,1c0hsvHLELX6y8qymnpLKL,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",latin,-4.271,0.0432,0.361,0.437,92.01,266087,0.799,F
1377,46,9,1/3/20,1/10/20,"5,075,520",SHAED,139434,1iQDltZqI7BXnHrFy4Qo1k,"['electropop', 'pop']",pop,-5.782,0.0334,0.56,0.137,126.803,184280,0.498,G
1378,82,10,12/27/19,1/3/20,"5,024,683",Lizzo,3991674,3HWzoMvoF3TQfYg4UPszDq,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop rap', 'post-teen pop', 'trap queen']",pop,-3.046,0.114,0.11,0.123,158.087,173325,0.412,E
1380,54,1,2/21/20,2/28/20,"10,016,907",BTS,37151476,3op7HNwLli54MBjFGzIlZO,"['k-pop', 'k-pop boy group']",pop,-6.993,0.152,0.0433,0.0904,145.999,217404,0.485,C
1381,56,1,2/21/20,2/28/20,"9,991,177",BTS,37151476,1aKuG1GG76xPLUkjBbQo3W,"['k-pop', 'k-pop boy group']",pop,-5.086,0.128,0.0394,0.0509,165.998,225012,0.333,A#/Bb
1382,67,1,2/21/20,2/28/20,"9,372,219",BTS,37151476,4AlihYDqxXshKhvh5tnMfP,"['k-pop', 'k-pop boy group']",pop,-6.456,0.0579,0.0802,0.11,157.999,250296,0.196,C#/Db
1383,74,1,2/21/20,2/28/20,"8,822,365",BTS,37151476,7w05lsU2VLSeiT8Nukrv5M,"['k-pop', 'k-pop boy group']",pop,-5.211,0.0407,0.0668,0.0536,79.98,199339,0.648,C#/Db
1384,75,1,2/21/20,2/28/20,"8,516,710",BTS,37151476,44WLOqH7QayQOQdeUHeKUK,"['k-pop', 'k-pop boy group']",pop,-5.215,0.0309,0.225,0.108,84.047,261543,0.19,A
1385,79,1,2/21/20,2/28/20,"8,312,399",BTS,37151476,4BKOjYosPhw334moS3wlbO,"['k-pop', 'k-pop boy group']",pop,-7.981,0.0725,0.017,0.0808,134.953,233266,0.332,B
1386,84,1,2/21/20,2/28/20,"7,850,129",BTS,37151476,1xfXXujIlLZAx5wpu46Nyk,"['k-pop', 'k-pop boy group']",pop,-6.658,0.0596,0.0104,0.191,141.87,208590,0.64,F#/Gb
